[2024/05/12 06:07:16] - Namespace(Inc_coeff=1, att_method='tanh', attack_iters=10, batch_size=128, beta_init=100000.0, beta_max=100000.0, chkpt_iters=50, dataset='cifar100', epochs=201, epsilon=0.03137254901960784, eq_vol=1, eval_method='sign', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.1, lr_schedule='piecewise', manual_step=0, model='WideResNet', momentum=0.9, norm='l_inf', pgd_alpha=2.0, random_init=1, resume=0, seed=1, train_mode='adv_train', tune_period=10, weight_decay=0.0005, width_factor=10)
[2024/05/12 06:07:24] - Epoch 	 Train Time 	 Test Time 	 LR 	 beta 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Surrogate Loss 	 Train Surrogate Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Surrogate Loss 	 Test Surrogate Acc 
[2024/05/12 06:26:06] - 0 		 927.5 	 	 194.5 	 	 0.1000 	 	  100000.0 		 4.2442 	 0.0528 	 	 4.4007  	 0.0378  	 	 4.4063 	 0.0374  	 	 3.9754 	 0.0932  	 	 4.2138 	 0.0635  	 	 4.2183 	 0.0630
[2024/05/12 06:44:40] - 1 		 920.4 	 	 194.2 	 	 0.1000 	 	  100000.0 		 3.8758 	 0.1088 	 	 4.1400  	 0.0702  	 	 4.1448 	 0.0698  	 	 3.7057 	 0.1450  	 	 4.0053 	 0.0936  	 	 4.0090 	 0.0933
[2024/05/12 07:03:16] - 2 		 920.7 	 	 194.3 	 	 0.1000 	 	  100000.0 		 3.6648 	 0.1480 	 	 4.0037  	 0.0923  	 	 4.0078 	 0.0920  	 	 3.5688 	 0.1574  	 	 3.9459 	 0.1002  	 	 3.9492 	 0.0995
[2024/05/12 07:21:51] - 3 		 921.0 	 	 194.4 	 	 0.1000 	 	  100000.0 		 3.4999 	 0.1815 	 	 3.8984  	 0.1076  	 	 3.9021 	 0.1076  	 	 3.4090 	 0.1981  	 	 3.8745 	 0.1158  	 	 3.8771 	 0.1154
[2024/05/12 07:40:27] - 4 		 921.1 	 	 194.6 	 	 0.1000 	 	  100000.0 		 3.3720 	 0.2075 	 	 3.8198  	 0.1201  	 	 3.8232 	 0.1196  	 	 3.2233 	 0.2357  	 	 3.7352 	 0.1352  	 	 3.7376 	 0.1349
[2024/05/12 07:59:02] - 5 		 920.7 	 	 194.4 	 	 0.1000 	 	  100000.0 		 3.2579 	 0.2316 	 	 3.7502  	 0.1296  	 	 3.7534 	 0.1293  	 	 3.1363 	 0.2451  	 	 3.7250 	 0.1363  	 	 3.7277 	 0.1357
[2024/05/12 08:17:37] - 6 		 920.6 	 	 194.7 	 	 0.1000 	 	  100000.0 		 3.1460 	 0.2566 	 	 3.6826  	 0.1415  	 	 3.6858 	 0.1411  	 	 2.9247 	 0.3014  	 	 3.5528 	 0.1655  	 	 3.5552 	 0.1652
[2024/05/12 08:36:12] - 7 		 920.4 	 	 194.7 	 	 0.1000 	 	  100000.0 		 3.0482 	 0.2788 	 	 3.6232  	 0.1520  	 	 3.6263 	 0.1516  	 	 2.9015 	 0.3067  	 	 3.5491 	 0.1679  	 	 3.5516 	 0.1675
[2024/05/12 08:54:47] - 8 		 920.4 	 	 194.3 	 	 0.1000 	 	  100000.0 		 2.9596 	 0.2999 	 	 3.5680  	 0.1630  	 	 3.5712 	 0.1631  	 	 2.8276 	 0.3104  	 	 3.5289 	 0.1647  	 	 3.5316 	 0.1650
[2024/05/12 09:13:22] - 9 		 920.6 	 	 194.2 	 	 0.1000 	 	  100000.0 		 2.8956 	 0.3098 	 	 3.5253  	 0.1680  	 	 3.5285 	 0.1676  	 	 2.7996 	 0.3141  	 	 3.5568 	 0.1695  	 	 3.5594 	 0.1688
