[2024/05/12 05:08:23] - Namespace(Inc_coeff=1, att_method='tanh', attack_iters=10, batch_size=128, beta_init=1000.0, beta_max=100000.0, chkpt_iters=50, dataset='cifar100', epochs=201, epsilon=0.03137254901960784, eq_vol=1, eval_method='sign', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.1, lr_schedule='piecewise', manual_step=0, model='WideResNet', momentum=0.9, norm='l_inf', pgd_alpha=2.0, random_init=1, resume=0, seed=1, train_mode='adv_train', tune_period=10, weight_decay=0.0005, width_factor=10)
[2024/05/12 05:08:31] - Epoch 	 Train Time 	 Test Time 	 LR 	 beta 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Surrogate Loss 	 Train Surrogate Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Surrogate Loss 	 Test Surrogate Acc 
[2024/05/12 05:27:37] - 0 		 946.1 	 	 199.6 	 	 0.1000 	 	  1000.0 		 4.0986 	 0.0689 	 	 4.1983  	 0.0582  	 	 4.5159 	 0.0334  	 	 3.7281 	 0.1162  	 	 3.9545 	 0.0857  	 	 4.4142 	 0.0426
[2024/05/12 05:46:36] - 1 		 940.0 	 	 199.6 	 	 0.1000 	 	  1000.0 		 3.5647 	 0.1525 	 	 3.7797  	 0.1183  	 	 4.2908 	 0.0618  	 	 3.3158 	 0.2000  	 	 3.6840 	 0.1451  	 	 4.2639 	 0.0796
[2024/05/12 06:05:36] - 2 		 940.3 	 	 199.5 	 	 0.1000 	 	  1000.0 		 3.2419 	 0.2148 	 	 3.5438  	 0.1596  	 	 4.1385 	 0.0830  	 	 3.1163 	 0.2299  	 	 3.5812 	 0.1599  	 	 4.2152 	 0.0854
[2024/05/12 06:24:36] - 3 		 940.1 	 	 199.6 	 	 0.1000 	 	  1000.0 		 2.9996 	 0.2684 	 	 3.3802  	 0.1909  	 	 4.0336 	 0.0963  	 	 2.9159 	 0.2810  	 	 3.4307 	 0.1911  	 	 4.0854 	 0.1074
[2024/05/12 06:43:36] - 4 		 940.5 	 	 199.3 	 	 0.1000 	 	  1000.0 		 2.8261 	 0.3028 	 	 3.2658  	 0.2106  	 	 3.9581 	 0.1099  	 	 2.6360 	 0.3372  	 	 3.2205 	 0.2297  	 	 3.9251 	 0.1275
[2024/05/12 07:02:36] - 5 		 940.2 	 	 199.6 	 	 0.1000 	 	  1000.0 		 2.6893 	 0.3316 	 	 3.1771  	 0.2248  	 	 3.8980 	 0.1166  	 	 2.5189 	 0.3655  	 	 3.2630 	 0.2229  	 	 4.0191 	 0.1243
[2024/05/12 07:21:35] - 6 		 939.5 	 	 199.4 	 	 0.1000 	 	  1000.0 		 2.5647 	 0.3647 	 	 3.0923  	 0.2448  	 	 3.8359 	 0.1256  	 	 2.3851 	 0.3954  	 	 3.1032 	 0.2489  	 	 3.8577 	 0.1352
[2024/05/12 07:40:34] - 7 		 939.7 	 	 199.5 	 	 0.1000 	 	  1000.0 		 2.4789 	 0.3855 	 	 3.0357  	 0.2557  	 	 3.7949 	 0.1336  	 	 2.3619 	 0.4042  	 	 3.0911 	 0.2602  	 	 3.8446 	 0.1446
[2024/05/12 07:59:32] - 8 		 939.4 	 	 199.1 	 	 0.1000 	 	  1000.0 		 2.4010 	 0.4026 	 	 2.9854  	 0.2641  	 	 3.7568 	 0.1373  	 	 2.2938 	 0.4105  	 	 3.0648 	 0.2586  	 	 3.8361 	 0.1396
[2024/05/12 08:18:30] - 9 		 938.9 	 	 198.2 	 	 0.1000 	 	  1000.0 		 2.3461 	 0.4157 	 	 2.9474  	 0.2699  	 	 3.7270 	 0.1417  	 	 2.3053 	 0.4109  	 	 3.1581 	 0.2529  	 	 3.9546 	 0.1383
[2024/05/12 08:37:27] - 10 		 937.9 	 	 199.1 	 	 0.1000 	 	  1000.0 		 2.2856 	 0.4296 	 	 2.9019  	 0.2822  	 	 3.6902 	 0.1471  	 	 2.1990 	 0.4426  	 	 3.0008 	 0.2753  	 	 3.7744 	 0.1568
[2024/05/12 08:56:25] - 11 		 940.0 	 	 198.9 	 	 0.1000 	 	  1000.0 		 2.2417 	 0.4404 	 	 2.8747  	 0.2888  	 	 3.6709 	 0.1524  	 	 2.1306 	 0.4468  	 	 3.0962 	 0.2717  	 	 3.9137 	 0.1490
