[2024/05/20 10:09:59] - Namespace(att_method='norm_steep', attack_iters=10, batch_size=128, beta=2.0, chkpt_iters=50, dataset='cifar10', epochs=201, epsilon=0.03137254901960784, eq_vol=1, eval_method='sign', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.1, lr_schedule='piecewise', manual_step=0, model='PreRes18_standard', momentum=0.9, norm='l_inf', pgd_alpha=2.0, random_init=1, resume=0, seed=3, train_mode='adv_train', weight_decay=0.0005, width_factor=10)
[2024/05/20 10:10:05] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Surrogate Loss 	 Train Surrogate Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Surrogate Loss 	 Test Surrogate Acc 
[2024/05/20 10:14:19] - 0 		 207.6 	 	 46.6 	 	 0.1000  		 1.9390 	 0.2829 	 	 2.1071  	 0.2129  	 	 2.1575 	 0.1970  	 	 1.7549 	 0.3434  	 	 1.9863 	 0.2482  	 	 2.0674 	 0.2278
[2024/05/20 10:18:28] - 1 		 202.4 	 	 46.3 	 	 0.1000  		 1.6639 	 0.3941 	 	 1.9163  	 0.2766  	 	 1.9947 	 0.2486  	 	 1.5496 	 0.4364  	 	 1.8872 	 0.2879  	 	 1.9924 	 0.2524
[2024/05/20 10:22:36] - 2 		 201.8 	 	 46.3 	 	 0.1000  		 1.5155 	 0.4617 	 	 1.8178  	 0.3123  	 	 1.9125 	 0.2778  	 	 1.3805 	 0.5177  	 	 1.7382 	 0.3312  	 	 1.8583 	 0.2810
[2024/05/20 10:26:45] - 3 		 202.3 	 	 46.7 	 	 0.1000  		 1.3957 	 0.5142 	 	 1.7374  	 0.3436  	 	 1.8463 	 0.3047  	 	 1.3070 	 0.5410  	 	 1.6839 	 0.3638  	 	 1.8156 	 0.3159
[2024/05/20 10:30:54] - 4 		 201.3 	 	 47.6 	 	 0.1000  		 1.2946 	 0.5591 	 	 1.6664  	 0.3680  	 	 1.7878 	 0.3221  	 	 1.2114 	 0.5926  	 	 1.6365 	 0.3682  	 	 1.7921 	 0.3108
[2024/05/20 10:35:02] - 5 		 201.4 	 	 46.7 	 	 0.1000  		 1.2231 	 0.5942 	 	 1.6158  	 0.3883  	 	 1.7468 	 0.3363  	 	 1.1663 	 0.5993  	 	 1.6323 	 0.3836  	 	 1.8064 	 0.3151
[2024/05/20 10:39:10] - 6 		 202.0 	 	 46.2 	 	 0.1000  		 1.1632 	 0.6171 	 	 1.5719  	 0.4033  	 	 1.7115 	 0.3498  	 	 1.0883 	 0.6349  	 	 1.5273 	 0.4172  	 	 1.6933 	 0.3521
[2024/05/20 10:43:18] - 7 		 201.9 	 	 46.4 	 	 0.1000  		 1.1185 	 0.6399 	 	 1.5397  	 0.4187  	 	 1.6862 	 0.3590  	 	 1.0816 	 0.6367  	 	 1.5783 	 0.4094  	 	 1.7671 	 0.3427
[2024/05/20 10:47:27] - 8 		 202.0 	 	 46.5 	 	 0.1000  		 1.0791 	 0.6537 	 	 1.5109  	 0.4260  	 	 1.6633 	 0.3657  	 	 1.0196 	 0.6596  	 	 1.5160 	 0.4354  	 	 1.7088 	 0.3626
[2024/05/20 10:51:35] - 9 		 201.5 	 	 46.4 	 	 0.1000  		 1.0490 	 0.6673 	 	 1.4861  	 0.4405  	 	 1.6431 	 0.3776  	 	 0.9685 	 0.6822  	 	 1.4442 	 0.4491  	 	 1.6309 	 0.3797
[2024/05/20 10:55:43] - 10 		 202.0 	 	 46.5 	 	 0.1000  		 1.0235 	 0.6771 	 	 1.4688  	 0.4440  	 	 1.6306 	 0.3820  	 	 0.9698 	 0.6797  	 	 1.5118 	 0.4385  	 	 1.7334 	 0.3648
[2024/05/20 10:59:51] - 11 		 201.7 	 	 46.5 	 	 0.1000  		 0.9975 	 0.6887 	 	 1.4472  	 0.4525  	 	 1.6123 	 0.3874  	 	 0.9556 	 0.6766  	 	 1.4201 	 0.4687  	 	 1.6026 	 0.3996
[2024/05/20 11:04:01] - 12 		 203.3 	 	 46.5 	 	 0.1000  		 0.9783 	 0.6943 	 	 1.4325  	 0.4558  	 	 1.6014 	 0.3892  	 	 1.0006 	 0.6668  	 	 1.4598 	 0.4505  	 	 1.6345 	 0.3799
[2024/05/20 11:08:09] - 13 		 201.5 	 	 46.6 	 	 0.1000  		 0.9630 	 0.7015 	 	 1.4203  	 0.4668  	 	 1.5914 	 0.3979  	 	 0.9276 	 0.7029  	 	 1.4229 	 0.4700  	 	 1.6192 	 0.3904
[2024/05/20 11:12:17] - 14 		 201.0 	 	 46.8 	 	 0.1000  		 0.9453 	 0.7103 	 	 1.4059  	 0.4658  	 	 1.5801 	 0.3989  	 	 0.9292 	 0.6801  	 	 1.4235 	 0.4669  	 	 1.6186 	 0.3962
[2024/05/20 11:16:24] - 15 		 201.1 	 	 46.4 	 	 0.1000  		 0.9401 	 0.7096 	 	 1.4005  	 0.4713  	 	 1.5757 	 0.4043  	 	 0.9229 	 0.6978  	 	 1.4073 	 0.4695  	 	 1.5961 	 0.3954
[2024/05/20 11:20:33] - 16 		 201.8 	 	 46.7 	 	 0.1000  		 0.9241 	 0.7185 	 	 1.3902  	 0.4736  	 	 1.5686 	 0.4043  	 	 0.9138 	 0.6989  	 	 1.4055 	 0.4623  	 	 1.5994 	 0.3846
[2024/05/20 11:24:40] - 17 		 201.3 	 	 46.3 	 	 0.1000  		 0.9113 	 0.7210 	 	 1.3777  	 0.4758  	 	 1.5581 	 0.4054  	 	 0.8668 	 0.7205  	 	 1.4035 	 0.4706  	 	 1.6286 	 0.3884
[2024/05/20 11:28:48] - 18 		 201.5 	 	 46.5 	 	 0.1000  		 0.9000 	 0.7289 	 	 1.3684  	 0.4807  	 	 1.5507 	 0.4118  	 	 0.8884 	 0.7211  	 	 1.3708 	 0.4870  	 	 1.5630 	 0.4090
[2024/05/20 11:32:57] - 19 		 201.9 	 	 46.6 	 	 0.1000  		 0.8923 	 0.7295 	 	 1.3636  	 0.4804  	 	 1.5472 	 0.4101  	 	 0.8987 	 0.6931  	 	 1.4460 	 0.4613  	 	 1.6645 	 0.3880
[2024/05/20 11:37:06] - 20 		 202.2 	 	 46.5 	 	 0.1000  		 0.8918 	 0.7285 	 	 1.3614  	 0.4842  	 	 1.5455 	 0.4145  	 	 0.8946 	 0.7200  	 	 1.3853 	 0.4738  	 	 1.5819 	 0.3903
[2024/05/20 11:41:14] - 21 		 201.7 	 	 46.4 	 	 0.1000  		 0.8745 	 0.7379 	 	 1.3484  	 0.4872  	 	 1.5359 	 0.4153  	 	 0.8688 	 0.7292  	 	 1.3784 	 0.4836  	 	 1.5866 	 0.4050
[2024/05/20 11:45:21] - 22 		 201.3 	 	 46.3 	 	 0.1000  		 0.8718 	 0.7389 	 	 1.3450  	 0.4912  	 	 1.5327 	 0.4176  	 	 0.8354 	 0.7211  	 	 1.3990 	 0.4658  	 	 1.6367 	 0.3848
[2024/05/20 11:49:30] - 23 		 201.9 	 	 46.4 	 	 0.1000  		 0.8664 	 0.7391 	 	 1.3415  	 0.4891  	 	 1.5304 	 0.4168  	 	 0.8170 	 0.7402  	 	 1.3837 	 0.4776  	 	 1.6260 	 0.3912
[2024/05/20 11:53:38] - 24 		 201.7 	 	 46.4 	 	 0.1000  		 0.8607 	 0.7435 	 	 1.3370  	 0.4929  	 	 1.5278 	 0.4198  	 	 0.8300 	 0.7344  	 	 1.3579 	 0.4850  	 	 1.5746 	 0.4006
[2024/05/20 11:57:46] - 25 		 202.0 	 	 46.5 	 	 0.1000  		 0.8574 	 0.7429 	 	 1.3328  	 0.4953  	 	 1.5231 	 0.4220  	 	 0.8511 	 0.7370  	 	 1.3885 	 0.4831  	 	 1.6109 	 0.3954
[2024/05/20 12:01:54] - 26 		 201.9 	 	 46.3 	 	 0.1000  		 0.8503 	 0.7462 	 	 1.3269  	 0.4966  	 	 1.5186 	 0.4212  	 	 0.8077 	 0.7310  	 	 1.3441 	 0.4984  	 	 1.5725 	 0.4139
[2024/05/20 12:06:03] - 27 		 201.2 	 	 46.9 	 	 0.1000  		 0.8459 	 0.7453 	 	 1.3242  	 0.4961  	 	 1.5175 	 0.4209  	 	 0.8051 	 0.7320  	 	 1.3778 	 0.4824  	 	 1.6219 	 0.4032
[2024/05/20 12:10:10] - 28 		 201.6 	 	 46.4 	 	 0.1000  		 0.8399 	 0.7476 	 	 1.3177  	 0.4988  	 	 1.5113 	 0.4225  	 	 0.8405 	 0.7346  	 	 1.3551 	 0.4908  	 	 1.5731 	 0.4056
[2024/05/20 12:14:19] - 29 		 202.0 	 	 46.4 	 	 0.1000  		 0.8348 	 0.7521 	 	 1.3140  	 0.5024  	 	 1.5088 	 0.4271  	 	 0.8500 	 0.7378  	 	 1.3639 	 0.4860  	 	 1.5722 	 0.4028
[2024/05/20 12:18:27] - 30 		 201.8 	 	 46.4 	 	 0.1000  		 0.8313 	 0.7555 	 	 1.3126  	 0.5000  	 	 1.5093 	 0.4245  	 	 0.8454 	 0.7282  	 	 1.3490 	 0.4859  	 	 1.5558 	 0.4048
[2024/05/20 12:22:35] - 31 		 201.8 	 	 46.5 	 	 0.1000  		 0.8322 	 0.7520 	 	 1.3119  	 0.5020  	 	 1.5079 	 0.4265  	 	 0.8173 	 0.7470  	 	 1.3484 	 0.4922  	 	 1.5761 	 0.4081
[2024/05/20 12:26:44] - 32 		 201.3 	 	 46.9 	 	 0.1000  		 0.8239 	 0.7588 	 	 1.3060  	 0.5056  	 	 1.5033 	 0.4293  	 	 0.8101 	 0.7421  	 	 1.3239 	 0.5083  	 	 1.5400 	 0.4287
[2024/05/20 12:30:52] - 33 		 201.5 	 	 46.3 	 	 0.1000  		 0.8187 	 0.7585 	 	 1.3004  	 0.5056  	 	 1.4990 	 0.4281  	 	 0.8190 	 0.7531  	 	 1.3482 	 0.4901  	 	 1.5714 	 0.4064
[2024/05/20 12:35:00] - 34 		 202.0 	 	 46.4 	 	 0.1000  		 0.8170 	 0.7591 	 	 1.3006  	 0.5043  	 	 1.5002 	 0.4278  	 	 0.8309 	 0.7386  	 	 1.3574 	 0.4952  	 	 1.5740 	 0.4156
[2024/05/20 12:39:08] - 35 		 202.0 	 	 46.4 	 	 0.1000  		 0.8101 	 0.7612 	 	 1.2922  	 0.5099  	 	 1.4916 	 0.4332  	 	 0.7901 	 0.7563  	 	 1.3473 	 0.5000  	 	 1.5901 	 0.4125
[2024/05/20 12:43:17] - 36 		 201.9 	 	 46.6 	 	 0.1000  		 0.8134 	 0.7593 	 	 1.2969  	 0.5055  	 	 1.4969 	 0.4304  	 	 0.7830 	 0.7489  	 	 1.3877 	 0.4751  	 	 1.6628 	 0.3848
